date,total_views,unique_views
2022-10-06,4,1
2022-10-07,2,1
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,1,1
2022-10-12,0,0
2022-10-13,7,2
2022-10-14,0,0
2022-10-15,0,0
2022-10-16,0,0
2022-10-17,14,2
2022-10-18,16,2
2022-10-19,20,2
2022-10-20,0,0
2022-10-21,16,1
2022-10-22,7,1
2022-10-23,27,1
2022-10-24,8,2
2022-10-25,39,2
2022-10-26,7,1
2022-10-27,0,0
2022-10-28,5,1
2022-10-29,0,0
2022-10-30,0,0
2022-10-31,24,4
2022-11-01,0,0
2022-11-02,0,0
2022-11-03,0,0
2022-11-04,0,0
2022-11-05,0,0
2022-11-06,0,0
2022-11-07,4,1
2022-11-08,0,0
